local_time,local_time,Date,1001_T,1001_RH,1002_T,1002_RH,1003_T,1003_RH,1004_T,1004_RH,1005_T,1005_RH
2,13,2/13/2020,25.46927083,60.00989583,25.1140625,65.58572917,25.5634375,65.82020833,24.6690625,65.50197917,24.23833333,65.99583333
2,14,2/14/2020,24.085,70.78375,23.59397727,77.57431818,23.61284091,79.09227273,23.0127381,78.29047619,23.13056818,76.89590909
2,15,2/15/2020,19.45291667,80.695,18.7271875,88.3225,18.72947917,90.65833333,18.50239583,88.03270833,18.47739583,87.17541667
2,16,2/16/2020,21.10166667,65.25354167,20.335,72.35635417,21.09791667,71.79625,19.989375,72.06239583,19.91197917,71.51083333
2,17,2/17/2020,22.04958333,60.8540625,21.47635417,67.39697917,21.7084375,68.49958333,20.95395833,67.62302083,20.52020833,68.23864583
2,18,2/18/2020,19.803125,74.54333333,19.22916667,81.273125,19.200625,83.85385417,18.89020833,81.1228125,18.825625,80.58666667
2,19,2/19/2020,16.3475,71.30572917,15.90625,77.01864583,15.983125,79.07270833,15.50489583,76.67427083,15.43052083,76.22833333
2,20,2/20/2020,16.86916667,61.689375,16.36354167,67.32302083,16.4228125,69.23177083,15.77916667,67.70708333,15.7371875,67.0578125
2,21,2/21/2020,17.1571875,61.28822917,16.55541667,67.61333333,16.83385417,68.4190625,16.0803125,67.784375,15.91385417,67.60354167
2,22,2/22/2020,18.41458333,55.1415625,17.55666667,62.01635417,17.9834375,62.44177083,16.89510417,62.7528125,16.738125,62.52885417
2,23,2/23/2020,22.36114583,55.52677083,21.598125,62.66135417,22.01322917,63.25458333,21.05802083,62.59447917,20.5515625,63.39739583
2,24,2/24/2020,20.96041667,72.85614583,20.44104167,79.64510417,20.51447917,81.54114583,20.09239583,79.87604167,20.005,79.43947917
2,25,2/25/2020,22.18739583,69.65572917,21.85166667,75.355625,22.10052083,76.47552083,21.62604167,74.87979167,21.25166667,75.37083333
2,26,2/26/2020,18.130625,54.24427083,17.44854167,60.28822917,17.47916667,61.895,16.81020833,60.921875,16.76854167,60.29979167
2,27,2/27/2020,16.73645833,49.0490625,15.60354167,56.55145833,15.8859375,57.27729167,15.36229167,56.04635417,15.32833333,55.515
2,28,2/28/2020,17.90729167,61.20625,16.94010417,69.10354167,17.34427083,69.7203125,16.51739583,69.39791667,16.48197917,68.725625
2,29,2/29/2020,19.56479167,59.19625,18.39385417,67.668125,18.904375,67.93458333,17.68416667,68.9009375,17.68322917,68.1225
3,1,3/1/2020,22.87041667,51.211875,22.06802083,58.57729167,22.3234375,59.46302083,21.40864583,58.56083333,21.05302083,58.70520833
3,2,3/2/2020,17.83927083,55.31583333,16.82166667,62.50114583,16.9534375,63.808125,16.0678125,63.35947917,16.07885417,62.5440625
3,3,3/3/2020,17.28625,52.79322917,16.58885417,59.44145833,16.9434375,60.0471875,15.90608696,60.33434783,15.955,59.5109375
3,4,3/4/2020,18.17041667,65.09989583,18.07891304,70.33684783,18.13604167,72.04395833,17.55395833,70.77927083,17.48864583,70.10385417
3,5,3/5/2020,18.4646875,84.7128125,17.774375,92.47239583,17.88177083,94.9525,17.64164835,91.93648352,17.52989583,91.88958333
3,6,3/6/2020,17.7859375,68.6015625,17.1203125,74.78302083,17.32826087,75.86608696,16.63322917,75.11989583,16.60333333,74.540625
3,7,3/7/2020,18.08520833,62.1190625,17.68260417,67.856875,17.66114583,70.35375,16.91854167,69.525,16.90052083,68.87666667
3,8,3/8/2020,18.1209375,61.16708333,17.06364583,69.13479167,18.16854167,67.595625,16.9234375,68.45708333,16.91583333,67.714375
3,9,3/9/2020,17.52541667,55.75479167,16.44677083,63.470625,17.500625,61.97,16.1909375,62.945625,16.13885417,62.39239583
3,10,3/10/2020,18.32666667,59.50385417,17.096875,68.494375,18.04916667,67.37322917,16.78677083,68.05760417,16.690625,67.60614583
3,11,3/11/2020,22.5046875,52.8584375,20.71104167,62.8021875,22.37447917,59.3678125,20.85572917,60.734375,20.755,60.22416667
3,12,3/12/2020,24.060625,42.32416667,23.3278125,48.8965625,23.72166667,48.04552083,22.626875,48.62583333,22.65572917,47.5925
3,13,3/13/2020,20.87923913,48.40652174,20.21770833,54.53927083,20.36822917,54.87947917,19.98885417,53.85416667,20.08864583,52.729375
3,14,3/14/2020,15.79166667,46.124375,14.84770833,52.95666667,15.44145833,52.57614583,14.58413043,52.56228261,14.545625,51.85385417
3,15,3/15/2020,16.17677083,60.489375,15.16927083,68.54041667,15.84043478,68.35815217,14.87041667,68.52072917,15.07579545,67.04056818
3,16,3/16/2020,18.84979167,53.18552083,18.08604167,61.20479167,18.69177083,60.5303125,17.3396875,60.85583333,17.22135417,60.48510417
3,17,3/17/2020,22.125,46.84864583,21.11479167,54.07447917,21.45427083,54.57875,20.50052083,54.03916667,20.65608696,52.64423913
3,18,3/18/2020,24.35895833,38.1159375,23.6334375,44.04427083,24.29302083,43.25333333,23.01989583,44.51833333,23.15614583,43.51614583
3,19,3/19/2020,25.40447917,42.51916667,24.60802083,48.45229167,25.20677083,48.06,24.17076087,47.55271739,24.30228261,47.19456522
3,20,3/20/2020,19.83854167,52.491875,18.67552083,60.20885417,19.060625,60.8790625,18.4553125,59.7040625,18.43885417,58.98291667
3,21,3/21/2020,17.00989583,58.056875,16.05489583,65.77052083,16.32052083,67.02083333,15.56802083,66.31385417,15.5690625,65.48166667
3,22,3/22/2020,16.33239583,60.66729167,15.40979167,68.4478125,15.62697917,69.77708333,14.8959375,69.09854167,14.93208333,68.1196875
3,23,3/23/2020,15.53979167,53.73354167,14.8046875,60.505625,15.1728125,61.00635417,14.51625,60.4065625,14.55760417,59.4690625
3,24,3/24/2020,15.34020833,53.51010417,14.37395833,60.733125,14.79177083,61.22708333,13.8565625,61.36020833,13.9103125,60.30947917
3,25,3/25/2020,15.9396875,53.36895833,15.24083333,59.91041667,15.5809375,60.64520833,15.00354167,59.6621875,15.034375,58.73802083
3,26,3/26/2020,17.1225,63.931875,16.545,70.65885417,16.9040625,71.71739583,15.84864583,72.06145833,15.87458333,71.09125
3,27,3/27/2020,20.66635417,53.5396875,19.114375,62.53291667,20.05083333,61.23833333,18.39979167,63.15010417,18.64177083,61.80239583
3,28,3/28/2020,22.2390625,45.9146875,21.2484375,53.17041667,21.7203125,52.9071875,20.10958333,54.46885417,20.511875,52.58229167
